Spanish	4	76826237	10236
				4)	_nav	5236	1555	1.3770263E-5
				5)	_naz	8648	361	3.1968264E-6
				6)	_nan	9459	265	2.3467007E-6
				7)	_nau	9528	259	2.2935678E-6
				8)	_nar	9601	254	2.2492904E-6
			5)	_ni	0	0	0.0
				1)	_nin	1222	15902	1.4081976E-4
				2)	_niv	1480	12960	1.1476695E-4
				3)	_niñ	2551	6462	5.722408E-5
				4)	_nie	5787	1201	1.0635425E-5
				5)	_nit	8334	407	3.6041781E-6
			6)	_nú	0	0	0.0
				1)	_núm	2230	7846	6.9480055E-5
				2)	_núc	7837	501	4.436593E-6
			7)	_nl	0	0	0.0
				1)	_nl_	7779	513	4.5428583E-6
			8)	_nó	0	0	0.0
				1)	_nór	9247	287	2.5415213E-6
		7)	_t	0	0	0.0
			1)	_tr	0	0	0.0
				1)	_tra	56	114638	0.0010151739
				2)	_tre	1507	12685	1.123317E-4
				3)	_trá	2663	6051	5.3584477E-5
				4)	_tri	2798	5614	4.9714636E-5
				5)	_tro	5207	1576	1.3956228E-5
			2)	_ta	0	0	0.0
				1)	_tam	93	87671	7.763683E-4
				2)	_tan	1302	15020	1.3300923E-4
				3)	_tar	1635	11636	1.030423E-4
				4)	_tal	3148	4570	4.046952E-5
				5)	_tab	4510	2195	1.9437766E-5
				6)	_tas	4637	2069	1.8321976E-5
				7)	_tap	9074	307	2.7186306E-6
				8)	_tac	9275	284	2.5149548E-6
			3)	_te	0	0	0.0
				1)	_ten	333	41247	3.6526177E-4
				2)	_ter	362	38634	3.421224E-4
				3)	_tem	813	22829	2.0216162E-4
				4)	_tex	1989	9214	8.159434E-5
				5)	_tec	2516	6614	5.857011E-5
				6)	_tel	3477	3802	3.3668515E-5
				7)	_tes	5115	1650	1.46115335E-5
				8)	_tej	7235	641	5.6763593E-6
				9)	_teo	7743	519	4.5959914E-6
				10)	_teó	9141	298	2.6389314E-6
			4)	_to	0	0	0.0
				1)	_tom	1047	18354	1.6253338E-4
				2)	_tot	1560	12240	1.0839101E-4
				3)	_tod	1708	11116	9.843746E-5
				4)	_tor	3054	4795	4.2462E-5
				5)	_tol	5058	1680	1.4877197E-5
				6)	_ton	5102	1655	1.465581E-5
				7)	_toc	6482	888	7.863661E-6
				8)	_top	8534	381	3.373936E-6
				9)	_tox	9953	219	1.939349E-6
			5)	_ti	0	0	0.0
				1)	_tip	1466	13063	1.1567907E-4
				2)	_tie	2606	6249	5.533786E-5
				3)	_tit	5973	1122	9.935842E-6
				4)	_tir	6936	733	6.491063E-6
				5)	_tib	7545	561	4.967921E-6
			6)	_tu	0	0	0.0
				1)	_tur	2402	7118	6.3033265E-5
				2)	_tuv	3178	4497	3.982307E-5
				3)	_tub	8514	383	3.3916467E-6
			7)	_té	0	0	0.0
				1)	_tér	2624	6211	5.5001354E-5
				2)	_téc	2803	5584	4.944897E-5
			8)	_tí	0	0	0.0
				1)	_tít	5490	1370	1.2132E-5
				2)	_típ	9108	302	2.6743533E-6
			9)	_tó	0	0	0.0
				1)	_tóx	8145	438	3.878698E-6
			10)	_tú	0	0	0.0
				1)	_tún	8374	401	3.5510454E-6
			11)	_tá	0	0	0.0
				1)	_tác	8518	382	3.3827914E-6
			12)	_ts	0	0	0.0
				1)	_tsu	9443	267	2.3644118E-6
		8)	_i	0	0	0.0
			1)	_in	0	0	0.0
				1)	_int	57	113677	0.0010066638
				2)	_inf	84	91989	8.1460626E-4
				3)	_ins	276	46840	4.1479044E-4
				4)	_inc	318	42135	3.7312543E-4
				5)	_ind	399	36001	3.1880595E-4
				6)	_inv	586	28640	2.536208E-4
				7)	_ini	992	19201	1.7003396E-4
				8)	_inm	1329	14676	1.2996295E-4
				9)	_inn	2724	5862	5.1910793E-5
				10)	_ina	2840	5456	4.831547E-5
				11)	_ing	3030	4859	4.302875E-5
				12)	_ine	3283	4235	3.7502934E-5
				13)	_inj	4450	2268	2.0084217E-5
				14)	_inq	5611	1296	1.1476695E-5
				15)	_inu	5749	1225	1.0847956E-5
				16)	_ino	6013	1104	9.776444E-6
				17)	_inh	6538	862	7.633419E-6
				18)	_inú	7430	590	5.22473E-6
			2)	_im	0	0	0.0
				1)	_imp	69	102706	9.0951036E-4
				2)	_ima	4101	2681	2.3741528E-5
				3)	_imá	8686	356	3.152549E-6
			3)	_id	0	0	0.0
				1)	_ide	1335	14569	1.290154E-4
				2)	_ido	6242	996	8.820053E-6
				3)	_idi	6550	858	7.5979974E-6
				4)	_idé	8272	417	3.692733E-6
				5)	_idó	9682	246	2.1784467E-6
			4)	_ig	0	0	0.0
				1)	_igu	1340	14513	1.285195E-4
				2)	_ign	4701	2000	1.7710949E-5
				3)	_igl	8660	359	3.1791153E-6
			5)	_il	0	0	0.0
				1)	_ile	3047	4814	4.2630254E-5
				2)	_ilu	5415	1418	1.2557063E-5
				3)	_ilí	8964	321	2.8426073E-6
				4)	_ili	9857	228	2.0190482E-6
			6)	_ir	0	0	0.0
				1)	_irr	3956	2916	2.5822565E-5
				2)	_irl	4368	2350	2.0810365E-5
				3)	_ira	4812	1898	1.6807691E-5
				4)	_irá	8389	399	3.5333344E-6
			7)	_it	0	0	0.0
				1)	_ita	4266	2495	2.209441E-5
				2)	_iti	9837	230	2.0367593E-6
			8)	_is	0	0	0.0
				1)	_isl	4276	2469	2.1864167E-5
				2)	_isr	4682	2010	1.7799504E-5
			9)	_iz	0	0	0.0
				1)	_izq	6326	950	8.4127005E-6
			10)	_ib	0	0	0.0
				1)	_iba	6491	883	7.819384E-6
		9)	_m	0	0	0.0
			1)	_má	0	0	0.0
				1)	_más	61	110616	9.795572E-4
				2)	_máx	3163	4541	4.021271E-5
				3)	_már	9076	307	2.7186306E-6
				4)	_máq	9157	297	2.6300759E-6
			2)	_me	0	0	0.0
				1)	_med	134	73239	6.485661E-4
				2)	_mer	417	35263	3.122706E-4
				3)	_mej	462	33344	2.9527696E-4
				4)	_men	763	24016	2.1267308E-4
				5)	_mes	2268	7697	6.816059E-5
				6)	_mec	3239	4353	3.854788E-5
				7)	_met	4121	2661	2.3564418E-5
				8)	_mem	6897	745	6.5973286E-6
				9)	_mez	7129	675	5.977445E-6
			3)	_mi	0	0	0.0
				1)	_mie	181	60081	5.320458E-4
				2)	_mis	298	43927	3.8899443E-4
				3)	_mil	782	23594	2.0893606E-4
				4)	_min	1759	10772	9.539117E-5
				5)	_mir	4183	2588	2.2917968E-5
				6)	_mit	4495	2217	1.9632587E-5
				7)	_mig	4624	2082	1.8437098E-5
				8)	_mié	7176	660	5.844613E-6
				9)	_mic	7616	545	4.8262336E-6
				10)	_mix	8920	328	2.9045957E-6
			4)	_ma	0	0	0.0
				1)	_man	262	48174	4.2660363E-4
				2)	_mar	412	35422	3.136786E-4
				3)	_may	425	34790	3.0808197E-4
				4)	_mat	1025	18720	1.6577449E-4
				5)	_mañ	2330	7489	6.631865E-5
				6)	_mal	2506	6645	5.8844627E-5
				7)	_mas	4035	2799	2.4786474E-5
				8)	_mad	4788	1916	1.696709E-5
				9)	_mag	5088	1665	1.4744365E-5
				10)	_mac	6720	793	7.0223914E-6
				11)	_mam	7687	533	4.719968E-6
				12)	_maq	8228	424	3.7547213E-6
				13)	_map	8785	343	3.0374279E-6
				14)	_maf	9503	262	2.3201344E-6
				15)	_mae	10219	201	1.7799504E-6
			5)	_mu	0	0	0.0
				1)	_muc	524	30684	2.717214E-4
				2)	_mun	728	25042	2.2175879E-4
				3)	_muj	1379	14010	1.240652E-4
				4)	_mue	2043	8957	7.931849E-5
				5)	_mul	3025	4887	4.3276705E-5
				6)	_mut	3868	3021	2.6752388E-5
				7)	_mur	6078	1075	9.519636E-6
				8)	_mus	6348	940	8.324146E-6
			6)	_mo	0	0	0.0
				1)	_mod	990	19216	1.701668E-4
				2)	_mom	1163	16647	1.4741709E-4
				3)	_mot	1603	11880	1.0520304E-4
				4)	_mon	2585	6330	5.6055156E-5
				5)	_mov	2875	5358	4.7447633E-5
				6)	_mos	3489	3785	3.3517972E-5
				7)	_mor	3752	3224	2.855005E-5
				8)	_mol	6509	874	7.739684E-6
				9)	_moc	8050	454	4.0203854E-6
			7)	_mé	0	0	0.0
				1)	_mét	3187	4479	3.966367E-5
				2)	_méd	4952	1779	1.5753889E-5
				3)	_mér	7095	684	6.0571447E-6
			8)	_mí	0	0	0.0
				1)	_mín	3251	4328	3.8326492E-5
				2)	_mí_	3901	2984	2.6424736E-5
				3)	_mío	7582	552	4.888222E-6
				4)	_mía	8866	335	2.966584E-6
			9)	_mú	0	0	0.0
				1)	_múl	7018	709	6.2785316E-6
				2)	_mús	9289	283	2.5060992E-6
			10)	_mó	0	0	0.0
				1)	_móv	7252	638	5.649793E-6
		10)	_s	0	0	0.0
			1)	_se	0	0	0.0
				1)	_señ	73	97329	8.618945E-4
				2)	_seg	141	71125	6.2984566E-4
				3)	_ser	178	60400	5.3487066E-4
				4)	_sen	671	26288	2.3279272E-4
				5)	_sea	677	26072	2.3087993E-4
				6)	_sec	807	22978	2.0348109E-4
				7)	_sem	1925	9662	8.5561594E-5
				8)	_sep	2451	6867	6.0810544E-5
				9)	_ses	2664	6050	5.3575623E-5
				10)	_sei	3913	2969	2.6291904E-5
				11)	_sex	3942	2934	2.5981963E-5
				12)	_sel	5007	1724	1.5266838E-5
				13)	_sed	6105	1061	9.395659E-6
				14)	_sev	7800	509	4.5074366E-6
				15)	_seq	8182	432	3.825565E-6
				16)	_set	9687	245	2.1695912E-6
			2)	_so	0	0	0.0
				1)	_soc	348	39588	3.5057054E-4
				2)	_sol	520	30829	2.7300543E-4
				3)	_sos	2083	8684	7.690094E-5
				4)	_sob	3105	4664	4.1301933E-5
				5)	_som	3258	4303	3.8105107E-5
				6)	_sor	3939	2937	2.6008529E-5
				7)	_sop	5540	1342	1.1884047E-5
				8)	_son	6807	770	6.8187155E-6
				9)	_sof	7723	523	4.631413E-6
				10)	_sov	8515	383	3.3916467E-6
			3)	_si	0	0	0.0
				1)	_sig	452	33811	2.9941247E-4
				2)	_sin	557	29686	2.628836E-4
				3)	_sit	594	28407	2.5155747E-4
				4)	_sid	780	23644	2.0937884E-4
				5)	_sis	873	21388	1.8940089E-4
				6)	_sie	1422	13552	1.2000939E-4
				7)	_sim	1495	12835	1.1366002E-4
				8)	_sir	4220	2545	2.2537182E-5
				9)	_siq	4398	2320	2.0544701E-5
				10)	_sil	5193	1588	1.4062493E-5
			4)	_su	0	0	0.0
				1)	_sup	533	30512	2.7019824E-4
				2)	_sub	1192	16169	1.4318417E-4
				3)	_suf	1461	13144	1.1639636E-4
				4)	_sus	1525	12540	1.1104765E-4
				5)	_sum	2201	8017	7.099434E-5
				6)	_sue	2481	6747	5.9747887E-5
				7)	_suc	2604	6252	5.5364428E-5
				8)	_sug	3689	3329	2.9479876E-5
				9)	_sur	3822	3098	2.743426E-5
				10)	_suj	5844	1178	1.0431749E-5
				11)	_suy	5903	1153	1.0210362E-5
				12)	_sud	6793	774	6.854137E-6
				13)	_sui	7245	640	5.667504E-6
				14)	_sua	8166	435	3.8521316E-6
			5)	_sa	0	0	0.0
				1)	_sal	895	21017	1.861155E-4
				2)	_sat	1634	11642	1.0309544E-4
				3)	_san	1968	9399	8.3232604E-5
				4)	_sac	3486	3790	3.356225E-5
				5)	_sab	3535	3675	3.254387E-5
				6)	_saq	8425	393	3.4802015E-6
			6)	_só	0	0	0.0
				1)	_sól	1045	18411	1.6303814E-4
			7)	_sí	0	0	0.0
				1)	_sí_	2090	8660	7.668841E-5
				2)	_sím	7456	581	5.1450306E-6
				3)	_sín	7836	501	4.436593E-6
			8)	_sé	0	0	0.0
				1)	_sé_	3809	3125	2.7673359E-5
				2)	_sép	9647	248	2.1961578E-6
			9)	_sv	0	0	0.0
				1)	_sv_	8375	401	3.5510454E-6
			10)	_sk	0	0	0.0
				1)	_sk_	9637	249	2.2050133E-6
			11)	_st	0	0	0.0
				1)	_sta	9807	233	2.0633256E-6
		11)	_q	0	0	0.0
			1)	_qu	0	0	0.0
				1)	_qui	155	66134	5.8564794E-4
				2)	_que	505	31619	2.8000126E-4
				3)	_qué	897	20970	1.856993E-4
				4)	_quí	5140	1630	1.4434424E-5
		12)	_g	0	0	0.0
			1)	_gr	0	0	0.0
				1)	_gra	175	61111	5.411669E-4
				2)	_gru	1850	10260	9.085717E-5
				3)	_gri	4084	2704	2.3945204E-5
				4)	_gre	8843	338	2.9931505E-6
			2)	_ge	0	0	0.0
				1)	_gen	629	27226	2.4109916E-4
				2)	_ges	1765	10726	9.498382E-5
				3)	_geo	4543	2171	1.9225236E-5
			3)	_ga	0	0	0.0
				1)	_gar	868	21455	1.8999421E-4
				2)	_gas	1932	9613	8.512768E-5
				3)	_gan	3307	4173	3.6953894E-5
				4)	_gal	6563	851	7.536009E-6
				5)	_gam	7538	563	4.985632E-6
				6)	_gat	10148	205	1.8153723E-6
			4)	_gu	0	0	0.0
				1)	_gus	1467	13059	1.1564364E-4
				2)	_gue	2744	5803	5.138832E-5
				3)	_gua	4653	2054	1.8189145E-5
				4)	_gub	5604	1300	1.1512117E-5
				5)	_gui	7108	681	6.0305783E-6
				6)	_guí	8718	352	3.117127E-6
			5)	_gl	0	0	0.0
				1)	_glo	2457	6846	6.0624578E-5
			6)	_go	0	0	0.0
				1)	_gob	2518	6602	5.8463844E-5
				2)	_gol	6218	1008	8.9263185E-6
				3)	_goz	6250	989	8.758065E-6
			7)	_gé	0	0	0.0
				1)	_gén	4974	1755	1.5541358E-5
			8)	_gi	0	0	0.0
				1)	_gir	8078	448	3.9672527E-6
				2)	_gig	8633	366	3.2411037E-6
		13)	_h	0	0	0.0
			1)	_ha	0	0	0.0
				1)	_han	193	57939	5.1307736E-4
				2)	_hab	228	51878	4.594043E-4
				3)	_hay	244	50030	4.430394E-4
				4)	_hac	806	22981	2.0350766E-4
				5)	_has	1203	16076	1.4236062E-4
				6)	_hag	2644	6136	5.4337193E-5
				7)	_har	2990	5011	4.4374785E-5
				8)	_hal	5022	1711	1.5151717E-5
				9)	_ham	5961	1125	9.9624085E-6
			2)	_he	0	0	0.0
				1)	_hem	459	33422	2.9596768E-4
				2)	_hec	473	32714	2.89698E-4
				3)	_her	3642	3436	3.042741E-5
			3)	_hu	0	0	0.0
				1)	_hum	653	26713	2.365563E-4
				2)	_hub	2882	5341	4.729709E-5
				3)	_hue	5821	1185	1.0493737E-5
				4)	_hun	7918	482	4.2683387E-6
				5)	_hui	9230	289	2.5592321E-6
				6)	_hu_	9561	257	2.275857E-6
				7)	_hur	9761	238	2.107603E-6
				8)	_huy	10031	214	1.8950716E-6
			4)	_ho	0	0	0.0
				1)	_hoy	890	21060	1.864963E-4
				2)	_hor	1468	13058	1.15634786E-4
				3)	_hom	2495	6688	5.9225415E-5
				4)	_hon	4272	2484	2.1996999E-5
				5)	_hos	6099	1065	9.431081E-6
				6)	_hog	6901	744	6.5884733E-6
				7)	_hoj	8654	360	3.1879708E-6
				8)	_hol	9377	275	2.4352555E-6
			5)	_hi	0	0	0.0
				1)	_his	2520	6600	5.8446134E-5
				2)	_hin	4048	2773	2.4556231E-5
				3)	_hic	4486	2226	1.9712286E-5
				4)	_hiz	4738	1965	1.7401007E-5
				5)	_hij	5059	1680	1.4877197E-5
				6)	_hip	5326	1474	1.305297E-5
				7)	_hid	7380	600	5.313285E-6
				8)	_hig	8465	389	3.4447796E-6
				9)	_hit	8537	380	3.3650804E-6
				10)	_hie	9770	237	2.0987475E-6
				11)	_hil	9939	221	1.9570598E-6
			6)	_hú	0	0	0.0
				1)	_hún	6949	729	6.455641E-6
			7)	_há	0	0	0.0
				1)	_háb	7154	667	5.9066015E-6
		14)	_a	0	0	0.0
			1)	_ac	0	0	0.0
				1)	_act	220	53655	4.751405E-4
				2)	_acu	343	40210	3.5607864E-4
				3)	_ace	613	27703	2.453232E-4
				4)	_acc	626	27291	2.4167476E-4
				5)	_aco	1095	17627	1.5609546E-4
				6)	_aca	1843	10301	9.1220245E-5
				7)	_acl	4007	2850	2.5238103E-5
				8)	_aci	7311	621	5.4992497E-6
				9)	_acr	7507	570	5.0476206E-6
			2)	_añ	0	0	0.0
				1)	_año	319	42079	3.7262953E-4
				2)	_aña	2760	5746	5.088356E-5
			3)	_ap	0	0	0.0
				1)	_apo	350	39380	3.487286E-4
				2)	_apl	441	34115	3.021045E-4
				3)	_apr	451	33868	2.999172E-4
				4)	_apa	1762	10747	9.516979E-5
				5)	_ape	3063	4763	4.2178624E-5
				6)	_apu	5082	1670	1.4788643E-5
				7)	_apt	8415	395	3.4979125E-6
			4)	_ah	0	0	0.0
				1)	_aho	559	29547	2.6165272E-4
				2)	_ahí	4082	2713	2.4024903E-5
			5)	_ad	0	0	0.0
				1)	_ade	600	28123	2.4904252E-4
				2)	_ado	846	21977	1.9461676E-4
				3)	_adm	1970	9385	8.310863E-5
				4)	_adh	2172	8188	7.250863E-5
				5)	_adi	3273	4246	3.7600345E-5
				6)	_ada	3698	3314	2.9347042E-5
				7)	_adq	3843	3071	2.7195163E-5
				8)	_adu	4571	2133	1.8888728E-5
				9)	_adv	4642	2067	1.8304267E-5
				10)	_adj	7199	652	5.7737693E-6
				11)	_ad_	10191	203	1.7976613E-6
			6)	_ag	0	0	0.0
				1)	_agr	640	26991	2.3901812E-4
				2)	_age	2503	6656	5.8942038E-5
				3)	_agu	2532	6541	5.792366E-5
				4)	_ago	5307	1492	1.3212368E-5
				5)	_agi	7982	469	4.1532176E-6
			7)	_ay	0	0	0.0
				1)	_ayu	643	26954	2.3869047E-4
				2)	_aye	3978	2880	2.5503767E-5
			8)	_as	0	0	0.0
				1)	_así	644	26929	2.3846907E-4
				2)	_asi	926	20446	1.8105903E-4
				3)	_asu	940	20256	1.793765E-4
				4)	_asp	1338	14541	1.2876745E-4
				5)	_ase	1509	12674	1.1223429E-4
				6)	_aso	2358	7368	6.5247135E-5
				7)	_asc	6141	1045	9.253971E-6
				8)	_asa	6914	740	6.553051E-6
				9)	_ast	8019	460	4.0735185E-6
			9)	_au	0	0	0.0
				1)	_aut	737	24716	2.1887191E-4
				2)	_aun	1246	15657	1.3865017E-4
				3)	_aum	1442	13351	1.1822944E-4
				4)	_aus	3579	3569	3.160519E-5
				5)	_aud	4309	2431	2.152766E-5
				6)	_aug	9456	266	2.3555563E-6
			10)	_am	0	0	0.0
				1)	_amp	790	23314	2.0645653E-4
				2)	_amb	1127	17209	1.5239387E-4
				3)	_ame	2537	6527	5.7799683E-5
				4)	_ami	3981	2876	2.5468345E-5
				5)	_ama	5884	1160	1.0272351E-5
				6)	_amo	7369	604	5.3487065E-6
			11)	_al	0	0	0.0
				1)	_alg	1072	17952	1.5897347E-4
				2)	_alc	1364	14261	1.2628792E-4
				3)	_alt	1628	11699	1.036002E-4
				4)	_ali	1807	10525	9.320387E-5
				5)	_ale	1993	9189	8.137296E-5
				6)	_all	2632	6191	5.4824242E-5
				7)	_ala	4919	1804	1.5975276E-5
				8)	_alm	5672	1264	1.119332E-5
				9)	_alu	5808	1189	1.0529159E-5
				10)	_alb	6093	1067	9.448791E-6
				11)	_alr	6297	970	8.58981E-6
				12)	_alz	8174	433	3.8344206E-6
			12)	_an	0	0	0.0
				1)	_ant	1121	17294	1.5314658E-4
				2)	_ani	2236	7824	6.928523E-5
				3)	_anu	2489	6718	5.9491078E-5
				4)	_ana	3716	3287	2.9107945E-5
				5)	_aná	3785	3165	2.8027578E-5
				6)	_ang	6621	830	7.350044E-6
				7)	_ane	6657	816	7.2260673E-6
				8)	_anc	6826	765	6.774438E-6
				9)	_ano	7700	529	4.684546E-6
				10)	_and	7805	508	4.498581E-6
				11)	_ans	8598	372	3.2942366E-6
				12)	_anó	9710	244	2.160736E-6
			13)	_aq	0	0	0.0
				1)	_aqu	1279	15239	1.3494858E-4
			14)	_at	0	0	0.0
				1)	_ate	1304	14970	1.3256645E-4
				2)	_atr	2645	6128	5.4266347E-5
				3)	_ata	3270	4253	3.7662332E-5
				4)	_atm	7230	644	5.7029256E-6
				5)	_ati	8781	344	3.0462834E-6
				6)	_atú	8863	336	2.9754394E-6
				7)	_atl	9720	243	2.1518804E-6
			15)	_ar	0	0	0.0
				1)	_art	1606	11849	1.0492852E-4
				2)	_arm	1697	11226	9.941156E-5
				3)	_arr	3022	4894	4.3338692E-5
				4)	_arg	3880	3013	2.6681546E-5
				5)	_ara	5108	1654	1.4646955E-5
				6)	_arb	6836	763	6.756727E-6
				7)	_ard	7479	575	5.091898E-6
				8)	_arc	7990	466	4.126651E-6
				9)	_arq	8364	402	3.5599007E-6
				10)	_are	10104	208	1.8419387E-6
			16)	_av	0	0	0.0
				1)	_ava	1609	11834	1.0479569E-4
				2)	_avi	3805	3132	2.7735347E-5
				3)	_ave	5075	1673	1.4815209E-5
			17)	_ab	0	0	0.0
				1)	_abo	1621	11738	1.0394556E-4
				2)	_abs	1939	9549	8.4560925E-5
				3)	_aba	2709	5887	5.2132178E-5
				4)	_abr	2757	5754	5.09544E-5
				5)	_abi	2870	5372	4.757161E-5
				6)	_abu	4001	2859	2.5317802E-5
			18)	_af	0	0	0.0
				1)	_afe	1867	10129	8.96971E-5
				2)	_afi	2419	7028	6.223628E-5
				3)	_afr	3418	3944	3.4925994E-5
				4)	_afo	6860	756	6.6947387E-6
				5)	_aft	7096	684	6.0571447E-6
				6)	_afg	7556	558	4.9413547E-6
				7)	_afl	8904	329	2.9134512E-6
				8)	_afá	10150	205	1.8153723E-6
			19)	_aú	0	0	0.0
				1)	_aún	1911	9767	8.649142E-5
			20)	_aé	0	0	0.0
				1)	_aér	3285	4224	3.7405523E-5
			21)	_ae	0	0	0.0
				1)	_aer	4497	2214	1.9606021E-5
			22)	_aj	0	0	0.0
				1)	_aju	4527	2181	1.931379E-5
				2)	_aje	8519	382	3.3827914E-6
			23)	_ai	0	0	0.0
				1)	_ais	5510	1358	1.2025735E-5
				2)	_air	5804	1191	1.0546871E-5
			24)	_az	0	0	0.0
				1)	_azú	5542	1339	1.1857481E-5
				2)	_azu	6933	734	6.4999185E-6
				3)	_azo	9625	251	2.222724E-6
		15)	_f	0	0	0.0
			1)	_fo	0	0	0.0
				1)	_for	232	51551	4.5650857E-4
				2)	_fon	1702	11155	9.878282E-5
				3)	_fom	2830	5481	4.853686E-5
				4)	_foc	8931	326	2.8868847E-6
				5)	_fot	9484	263	2.32899E-6
			2)	_fi	0	0	0.0
				1)	_fin	296	44131	3.9080094E-4
				2)	_fir	1938	9557	8.463177E-5
				3)	_fij	3043	4824	4.271881E-5
				4)	_fis	3201	4454	3.9442282E-5
				5)	_fig	4459	2252	1.9942529E-5
				6)	_fia	5380	1439	1.2743028E-5
				7)	_fil	5445	1395	1.2353387E-5
				8)	_fie	5599	1302	1.1529828E-5
				9)	_fit	9739	241	2.1341693E-6
				10)	_fic	9891	225	1.9924819E-6
			3)	_fu	0	0	0.0
				1)	_fun	443	34060	3.0161746E-4
				2)	_fue	863	21530	1.9065836E-4
				3)	_fut	936	20297	1.7973957E-4
				4)	_fus	6756	784	6.942692E-6
				5)	_fum	7831	502	4.445448E-6
				6)	_fug	9335	278	2.4618219E-6
			4)	_fa	0	0	0.0
				1)	_fav	924	20483	1.8138668E-4
				2)	_fal	1637	11626	1.02953745E-4
				3)	_fac	1802	10553	9.3451825E-5
				4)	_fam	2571	6377	5.6471363E-5
				5)	_fas	3442	3891	3.445665E-5
				6)	_fab	4216	2548	2.2563749E-5
				7)	_far	6353	938	8.306435E-6
				8)	_fan	7229	644	5.7029256E-6
				9)	_fat	9270	285	2.5238103E-6
			5)	_fr	0	0	0.0
				1)	_fra	1691	11262	9.973036E-5
				2)	_fre	1842	10310	9.1299946E-5
				3)	_fro	2243	7803	6.909927E-5
				4)	_fru	4123	2658	2.3537852E-5
				5)	_fr_	6322	959	8.4924E-6
				6)	_frá	8162	436	3.860987E-6
				7)	_frí	8707	353	3.1259826E-6
			6)	_fe	0	0	0.0
				1)	_fel	2092	8653	7.662642E-5
				2)	_fer	3210	4432	3.9247465E-5
				3)	_fec	3333	4121	3.649341E-5
				4)	_fen	5107	1654	1.4646955E-5
				5)	_feb	5350	1456	1.2893571E-5
				6)	_fed	5654	1271	1.1255308E-5
				7)	_fe_	6943	731	6.4733517E-6
				8)	_fem	7690	532	4.7111125E-6
			7)	_fl	0	0	0.0
				1)	_fle	3121	4640	4.1089403E-5
				2)	_flo	4659	2048	1.8136012E-5
				3)	_flu	4843	1872	1.6577449E-5
				4)	_fla	7044	703	6.2253985E-6
			8)	_fá	0	0	0.0
				1)	_fác	3699	3311	2.9320476E-5
				2)	_fáb	7279	630	5.578949E-6
			9)	_fí	0	0	0.0
				1)	_fís	6028	1098	9.723311E-6
			10)	_fó	0	0	0.0
				1)	_fór	6764	783	6.9338366E-6
				2)	_fós	8950	323	2.8603183E-6
			11)	_fú	0	0	0.0
				1)	_fút	7009	711	6.2962426E-6
		16)	_o	0	0	0.0
			1)	_ot	0	0	0.0
				1)	_otr	269	47334	4.1916504E-4
				2)	_oto	4203	2557	2.264345E-5
			2)	_ob	0	0	0.0
				1)	_obj	487	32153	2.8473008E-4
				2)	_obs	801	23052	2.041364E-4
				3)	_obl	1523	12556	1.11189336E-4
				4)	_obt	2486	6728	5.9579634E-5
				5)	_obr	4339	2388	2.1146874E-5
				6)	_obv	4374	2344	2.0757232E-5
				7)	_obe	8210	428	3.7901432E-6
			3)	_op	0	0	0.0
				1)	_opo	941	20251	1.7933222E-4
				2)	_opi	988	19295	1.7086638E-4
				3)	_ope	2493	6693	5.9269692E-5
				4)	_opc	4025	2811	2.4892739E-5
				5)	_opt	4174	2602	2.3041945E-5
				6)	_opu	6900	744	6.5884733E-6
				7)	_opr	7087	687	6.083711E-6
			4)	_or	0	0	0.0
				1)	_org	1126	17228	1.5256212E-4
				2)	_ori	1679	11332	1.0035024E-4
				3)	_ord	1821	10453	9.2566275E-5
				4)	_ora	3018	4909	4.3471526E-5
				5)	_oro	9579	256	2.2670015E-6
			5)	_oc	0	0	0.0
				1)	_ocu	1305	14961	1.3248676E-4
				2)	_oca	2277	7677	6.798348E-5
				3)	_oct	4367	2351	2.0819221E-5
				4)	_och	5538	1343	1.1892903E-5
				5)	_occ	5557	1330	1.1777781E-5
				6)	_océ	9681	246	2.1784467E-6
			6)	_of	0	0	0.0
				1)	_ofr	2106	8597	7.613051E-5
				2)	_ofi	3529	3691	3.2685555E-5
				3)	_ofe	4775	1925	1.7046788E-5
			7)	_ol	0	0	0.0
				1)	_olv	3354	4071	3.605064E-5
				2)	_ole	8401	397	3.5156233E-6
				3)	_oli	8413	395	3.4979125E-6
				4)	_ola	9938	221	1.9570598E-6
			8)	_oí	0	0	0.0
				1)	_oíd	5430	1407	1.2459653E-5
				2)	_oír	6152	1042	9.227405E-6
			9)	_oj	0	0	0.0
				1)	_ojo	6112	1059	9.377947E-6
				2)	_oja	9402	272	2.4086892E-6
			10)	_om	0	0	0.0
				1)	_omi	6770	780	6.9072703E-6
			11)	_od	0	0	0.0
				1)	_odi	7224	645	5.7117813E-6
			12)	_os	0	0	0.0
				1)	_osc	7884	488	4.321472E-6
				2)	_ost	9060	309	2.7363417E-6
			13)	_ov	0	0	0.0
				1)	_ove	9769	237	2.0987475E-6
				2)	_ovi	10175	204	1.8065168E-6
			14)	_oe	0	0	0.0
				1)	_oes	9905	224	1.9836264E-6
			15)	_oi	0	0	0.0
				1)	_oig	10000	216	1.9127824E-6
			16)	_oz	0	0	0.0
				1)	_ozo	10051	212	1.8773607E-6
		17)	_y	0	0	0.0
			1)	_ya	0	0	0.0
				1)	_ya_	332	41290	3.6564254E-4
		18)	_l	0	0	0.0
			1)	_lu	0	0	0.0
				1)	_lug	396	36171	3.2031137E-4
				2)	_luc	1373	14146	1.2526955E-4
