Italian	4	205693006	11141
				2)	zien	2738	13700	4.0002113E-5
				3)	zier	7086	1247	3.6410681E-6
			4)	zit	0	0	0.0
				1)	zitu	3730	7417	2.1656617E-5
			5)	zic	0	0	0.0
				1)	zich	4895	3777	1.1028319E-5
			6)	zis	0	0	0.0
				1)	zism	5860	2251	6.57261E-6
				2)	zist	7411	1076	3.1417717E-6
			7)	zin	0	0	0.0
				1)	zino	7393	1087	3.17389E-6
				2)	zina	8028	786	2.2950117E-6
		2)	zz	0	0	0.0
			1)	zza	0	0	0.0
				1)	zza_	525	80926	2.3629276E-4
				2)	zzaz	735	62690	1.8304616E-4
				3)	zzat	1136	43704	1.2760966E-4
				4)	zzar	1510	31890	9.31144E-5
				5)	zzan	3817	7030	2.0526631E-5
				6)	zzam	6049	2040	5.9565186E-6
				7)	zzab	6441	1684	4.917048E-6
			2)	zzo	0	0	0.0
				1)	zzo_	1993	22465	6.55947E-5
				2)	zzon	6420	1704	4.975445E-6
				3)	zzog	10461	265	7.737635E-7
			3)	zzi	0	0	0.0
				1)	zzi_	2030	21954	6.4102656E-5
				2)	zzis	5469	2776	8.105538E-6
				3)	zzia	6276	1821	5.317069E-6
				4)	zzin	7181	1201	3.5067544E-6
			4)	zze	0	0	0.0
				1)	zze_	5290	3031	8.850102E-6
				2)	zzer	5775	2335	6.817878E-6
				3)	zzes	8118	757	2.2103357E-6
		3)	za	0	0	0.0
			1)	zaz	0	0	0.0
				1)	zazi	736	62686	1.8303448E-4
			2)	zar	0	0	0.0
				1)	zare	1217	40422	1.1802667E-4
				2)	zarl	6312	1795	5.2411524E-6
				3)	zars	6852	1374	4.0118907E-6
				4)	zard	8456	647	1.8891508E-6
				5)	zarn	9647	374	1.0920285E-6
				6)	zarc	10143	307	8.963977E-7
			3)	zat	0	0	0.0
				1)	zato	2277	18653	5.4464188E-5
				2)	zata	2708	13885	4.0542287E-5
				3)	zati	2947	12097	3.5321573E-5
				4)	zate	3443	8925	2.605977E-5
				5)	zatu	6378	1737	5.0718004E-6
			4)	zam	0	0	0.0
				1)	zame	3612	8062	2.353993E-5
			5)	zan	0	0	0.0
				1)	zand	4595	4557	1.3305812E-5
				2)	zano	5209	3173	9.264722E-6
				3)	zant	6733	1453	4.2425595E-6
			6)	zal	0	0	0.0
				1)	zalt	5890	2221	6.4850137E-6
			7)	zab	0	0	0.0
				1)	zabi	6471	1662	4.852811E-6
			8)	za”	0	0	0.0
				1)	za”_	9106	473	1.3810948E-6
			9)	zas	0	0	0.0
				1)	zass	10641	247	7.2120594E-7
		4)	zo	0	0	0.0
			1)	zon	0	0	0.0
				1)	zone	3687	7632	2.2284388E-5
				2)	zona	3936	6550	1.9125097E-5
				3)	zont	6548	1598	4.6659397E-6
				4)	zono	9295	434	1.2672201E-6
			2)	zoo	0	0	0.0
				1)	zoot	7945	825	2.4088863E-6
				2)	zooz	11076	205	5.985717E-7
			3)	zol	0	0	0.0
				1)	zolf	9726	362	1.0569901E-6
			4)	zog	0	0	0.0
				1)	zogn	9936	334	9.75234E-7
				2)	zogi	10462	265	7.737635E-7
			5)	zot	0	0	0.0
				1)	zoto	10780	232	6.77408E-7
		5)	zu	0	0	0.0
			1)	zuc	0	0	0.0
				1)	zucc	6154	1936	5.652853E-6
		6)	ze	0	0	0.0
			1)	zer	0	0	0.0
				1)	zerà	6775	1424	4.1578837E-6
				2)	zero	7087	1247	3.6410681E-6
				3)	zere	7463	1041	3.0395765E-6
				4)	zera	8155	743	2.1694575E-6
				5)	zerb	9557	390	1.1387463E-6
			2)	zes	0	0	0.0
				1)	zese	9282	437	1.2759798E-6
				2)	zesi	10319	282	8.2340114E-7
		7)	z’	0	0	0.0
			1)	z’a	0	0	0.0
				1)	z’al	8691	584	1.7051995E-6
		8)	zb	0	0	0.0
			1)	zbe	0	0	0.0
				1)	zbek	9743	360	1.0511503E-6
	6)	d	0	0	0.0
		1)	de	0	0	0.0
			1)	del	0	0	0.0
				1)	dell	10	1085819	0.0031704418
				2)	del_	31	516664	0.0015085876
				3)	deli	3392	9199	2.6859812E-5
				4)	dele	3530	8440	2.4643636E-5
				5)	delu	5099	3371	9.842855E-6
				6)	delo	7470	1039	3.0337367E-6
				7)	delt	9139	467	1.3635756E-6
			2)	dei	0	0	0.0
				1)	dei_	65	324800	9.4837125E-4
			3)	der	0	0	0.0
				1)	dere	235	137823	4.0242416E-4
				2)	dera	917	52273	1.5262996E-4
				3)	dero	1449	33399	9.7520475E-5
				4)	deri	2120	20692	6.0417788E-5
				5)	derà	3619	8029	2.3443574E-5
				6)	dern	3858	6841	1.9974777E-5
				7)	ders	4114	5941	1.7346902E-5
				8)	derl	4446	4914	1.4348203E-5
				9)	der_	4647	4435	1.2949588E-5
				10)	derc	5532	2686	7.842749E-6
				11)	derò	6595	1564	4.5666643E-6
				12)	derv	7902	847	2.4731232E-6
				13)	derm	9014	495	1.4453318E-6
				14)	deru	9127	469	1.3694154E-6
				15)	derg	9737	360	1.0511503E-6
				16)	derr	10659	245	7.1536624E-7
			4)	deg	0	0	0.0
				1)	degl	349	107713	3.145071E-4
				2)	degu	1826	25386	7.412362E-5
				3)	degn	6221	1877	5.4805814E-6
				4)	degr	7044	1266	3.6965455E-6
				5)	dege	9221	451	1.3168578E-6
				6)	degg	10387	273	7.9712237E-7
			5)	den	0	0	0.0
				1)	dent	531	80029	2.3367365E-4
				2)	denz	1244	39398	1.1503673E-4
				3)	dend	2649	14311	4.178615E-5
				4)	dena	3928	6598	1.926525E-5
				5)	denu	4673	4375	1.2774397E-5
				6)	deno	6127	1965	5.737529E-6
				7)	denn	6190	1900	5.547738E-6
				8)	den_	7613	979	2.858545E-6
				9)	dens	8373	673	1.9650672E-6
			6)	dec	0	0	0.0
				1)	deci	654	68239	1.9924848E-4
				2)	dece	4155	5812	1.6970238E-5
				3)	deco	7215	1186	3.4629566E-6
				4)	deca	7626	974	2.8439458E-6
				5)	decl	7851	873	2.5490397E-6
				6)	decr	7918	842	2.458524E-6
				7)	decu	10609	249	7.270457E-7
			7)	dev	0	0	0.0
				1)	deve	688	65882	1.9236635E-4
				2)	devo	1106	44761	1.3069595E-4
				3)	deva	4214	5660	1.652642E-5
				4)	dev’	7533	1011	2.9519806E-6
				5)	devi	9409	415	1.2117428E-6
				6)	dev_	9564	390	1.1387463E-6
			8)	des	0	0	0.0
				1)	desi	723	63708	1.8601857E-4
				2)	dest	1929	23560	6.879195E-5
				3)	dese	3091	11196	3.2690776E-5
				4)	dess	3106	11091	3.2384192E-5
				5)	desc	3363	9445	2.7578099E-5
				6)	desp	9921	336	9.810736E-7
			9)	det	0	0	0.0
				1)	dett	1113	44400	1.2964188E-4
				2)	dete	1928	23578	6.884451E-5
				3)	deti	8908	522	1.524168E-6
				4)	detr	8975	504	1.4716105E-6
			10)	dem	0	0	0.0
				1)	demo	1130	43815	1.2793376E-4
				2)	demi	5376	2910	8.496799E-6
				3)	demp	5801	2309	6.741962E-6
				4)	deme	7766	908	2.6512348E-6
				5)	dema	7792	897	2.6191162E-6
			11)	def	0	0	0.0
				1)	defi	1443	33581	9.805189E-5
				2)	defe	9335	427	1.2467812E-6
				3)	defo	9396	416	1.2146627E-6
			12)	dep	0	0	0.0
				1)	depu	1776	26125	7.62814E-5
				2)	depl	4609	4527	1.3218216E-5
				3)	depo	6394	1729	5.048442E-6
				4)	depr	7719	931	2.7183917E-6
				5)	depe	10363	276	8.0588194E-7
			13)	deb	0	0	0.0
				1)	debb	2193	19768	5.7719833E-5
				2)	debi	3699	7533	2.1995322E-5
				3)	debo	3879	6783	1.9805424E-5
				4)	debe	10237	294	8.584395E-7
			14)	dea	0	0	0.0
				1)	dea_	3209	10444	3.049504E-5
				2)	deal	6137	1959	5.72001E-6
			15)	ded	0	0	0.0
				1)	dedi	4170	5769	1.6844684E-5
				2)	dedu	8781	558	1.629283E-6
			16)	dee	0	0	0.0
				1)	dee_	4787	4038	1.1790404E-5
			17)	deu	0	0	0.0
				1)	deur	5151	3270	9.547949E-6
			18)	deo	0	0	0.0
				1)	deol	6121	1968	5.7462885E-6
			19)	dez	0	0	0.0
				1)	dezz	9210	453	1.3226976E-6
		2)	da	0	0	0.0
			1)	dal	0	0	0.0
				1)	dall	218	144998	4.2337418E-4
				2)	dal_	466	88210	2.5756104E-4
				3)	dali	3463	8806	2.5712307E-5
				4)	dale	4811	3991	1.165317E-5
				5)	dalt	4869	3842	1.1218111E-5
				6)	dalo	6115	1976	5.7696475E-6
			2)	dam	0	0	0.0
				1)	dame	383	100174	2.9249428E-4
			3)	dar	0	0	0.0
				1)	dare	1030	47770	1.3948181E-4
				2)	dari	2568	15230	4.44695E-5
				3)	dard	4054	6186	1.8062266E-5
				4)	dars	6069	2028	5.9214804E-6
				5)	dar_	6337	1775	5.182755E-6
				6)	darl	6566	1585	4.6279815E-6
				7)	darà	6903	1339	3.9096954E-6
				8)	darc	6945	1316	3.8425387E-6
				9)	darv	7512	1019	2.9753396E-6
				10)	darr	8822	547	1.5971646E-6
				11)	darg	9738	360	1.0511503E-6
				12)	dara	9820	351	1.0248716E-6
				13)	darm	9871	344	1.0044325E-6
				14)	darò	10169	304	8.8763807E-7
				15)	darn	10512	259	7.562443E-7
				16)	dart	10940	218	6.3652993E-7
			4)	dat	0	0	0.0
				1)	dato	1182	41852	1.2220207E-4
				2)	dati	1687	27691	8.0853904E-5
				3)	data	2634	14490	4.2308802E-5
				4)	datt	3768	7244	2.1151482E-5
				5)	date	4396	5045	1.4730705E-5
				6)	datu	7942	827	2.414726E-6
			5)	dai	0	0	0.0
				1)	dai_	1842	25078	7.3224306E-5
				2)	daiu	10505	260	7.5916415E-7
			6)	dan	0	0	0.0
				1)	dann	2172	20038	5.8508198E-5
				2)	dano	2835	12856	3.753775E-5
				3)	dant	3860	6836	1.9960178E-5
				4)	dand	4361	5135	1.4993492E-5
				5)	dane	5603	2583	7.542004E-6
				6)	danz	7683	948	2.7680294E-6
				7)	dana	10339	280	8.175614E-7
			7)	daz	0	0	0.0
				1)	dazi	2272	18778	5.4829172E-5
				2)	dazz	9304	434	1.2672201E-6
			8)	dag	0	0	0.0
				1)	dagl	2716	13831	4.0384613E-5
				2)	dagi	4835	3921	1.1448779E-5
				3)	dagn	5888	2227	6.502533E-6
				4)	dagg	7238	1176	3.433758E-6
				5)	daga	8186	732	2.1373392E-6
			9)	dav	0	0	0.0
				1)	davv	3093	11179	3.264114E-5
				2)	dava	4702	4271	1.2470731E-5
				3)	davo	9145	466	1.3606558E-6
			10)	dac	0	0	0.0
				1)	dacc	3664	7748	2.2623091E-5
				2)	daca	5519	2706	7.901147E-6
				3)	dacq	8664	592	1.7285583E-6
				4)	daci	9476	406	1.185464E-6
				5)	daco	10209	298	8.701189E-7
				6)	dace	10893	222	6.482094E-7
			11)	das	0	0	0.0
				1)	dasi	5063	3439	1.0041406E-5
				2)	dass	8444	651	1.9008303E-6
			12)	dab	0	0	0.0
				1)	dabi	5084	3393	9.907092E-6
			13)	dap	0	0	0.0
				1)	dapp	7306	1135	3.3140436E-6
			14)	dau	0	0	0.0
				1)	daut	8283	700	2.0439036E-6
			15)	daf	0	0	0.0
				1)	dafr	8823	547	1.5971646E-6
				2)	daff	10296	286	8.350806E-7
		3)	di	0	0	0.0
			1)	dir	0	0	0.0
				1)	dire	327	114357	3.3390668E-4
				2)	diri	338	110508	3.2266811E-4
				3)	dirl	5349	2952	8.619433E-6
				4)	dirv	7887	853	2.4906424E-6
				5)	dirc	7992	804	2.347569E-6
				6)	dirò	8462	646	1.886231E-6
				7)	dirà	8592	609	1.7781961E-6
				8)	dira	9679	369	1.0774291E-6
				9)	dirs	10023	323	9.431155E-7
				10)	dir_	10064	316	9.2267646E-7
				11)	dirm	10250	292	8.525997E-7
				12)	diro	10900	221	6.4528956E-7
				13)	dirg	10921	219	6.394498E-7
			2)	dis	0	0	0.0
				1)	disc	403	98022	2.8621074E-4
				2)	disp	702	64854	1.8936474E-4
				3)	dist	1742	26756	7.8123834E-5
				4)	disf	2295	18330	5.3521075E-5
				5)	disa	2769	13411	3.9158273E-5
				6)	diso	3265	10079	2.9429291E-5
				7)	diss	4412	5013	1.4637269E-5
				8)	disi	6297	1806	5.273271E-6
				9)	disu	6315	1792	5.232393E-6
				10)	dise	7671	954	2.7855485E-6
				11)	disg	8330	683	1.9942659E-6
				12)	disl	10432	268	7.8252305E-7
				13)	dism	10654	246	7.1828606E-7
			3)	div	0	0	0.0
				1)	dive	704	64787	1.891691E-4
				2)	divi	1262	38669	1.1290815E-4
				3)	diva	5674	2461	7.1857808E-6
				4)	divu	8116	759	2.2161753E-6
				5)	divo	8800	553	1.6146838E-6
			4)	din	0	0	0.0
				1)	dini	794	58640	1.7122072E-4
				2)	dina	1601	29591	8.640164E-5
				3)	dine	2139	20416	5.9611906E-5
				4)	dino	4570	4611	1.3463485E-5
				5)	dint	5825	2289	6.6835646E-6
				6)	dinf	5964	2137	6.2397453E-6
				7)	dinc	7713	935	2.7300712E-6
				8)	ding	9004	497	1.4511714E-6
				9)	dinv	9220	451	1.3168578E-6
				10)	dins	9962	331	9.664743E-7
				11)	dinn	10471	264	7.708436E-7
				12)	dind	10690	242	7.066066E-7
			5)	diz	0	0	0.0
				1)	dizi	845	55833	1.6302467E-4
				2)	dizz	8448	650	1.8979104E-6
			6)	dif	0	0	0.0
				1)	diff	1057	46660	1.3624076E-4
				2)	difi	1888	24290	7.092345E-5
				3)	dife	2315	17973	5.247868E-5
			7)	dic	0	0	0.0
				1)	dica	1065	46340	1.3530641E-4
				2)	dich	1436	33727	9.847819E-5
				3)	dice	2119	20698	6.0435308E-5
				4)	dici	2403	16906	4.936319E-5
				5)	dico	2792	13242	3.8664813E-5
			8)	dim	0	0	0.0
				1)	dime	1387	34999	1.0219226E-4
				2)	dimo	1732	26980	7.877788E-5
				3)	dimi	4503	4780	1.3956941E-5
				4)	dimp	6065	2032	5.93316E-6
				5)	dimm	9621	379	1.1066278E-6
			9)	dia	0	0	0.0
				1)	dial	1529	31366	9.15844E-5
				2)	diam	1625	29093	8.494755E-5
				3)	dia_	2527	15569	4.5459332E-5
				4)	dian	3175	10663	3.113449E-5
				5)	diat	3230	10330	3.0162177E-5
				6)	diar	3882	6769	1.9764548E-5
				7)	diaz	6740	1450	4.2338E-6
				8)	diag	7648	966	2.8205868E-6
				9)	diab	9063	485	1.4161332E-6
			10)	dip	0	0	0.0
				1)	dipe	1870	24626	7.190453E-5
				2)	dipl	4924	3727	1.0882326E-5
				3)	dipa	8845	541	1.5796454E-6
				4)	dipi	10473	263	7.679237E-7
			11)	dib	0	0	0.0
				1)	diba	1920	23692	6.9177375E-5
				2)	dibi	3331	9609	2.8056955E-5
			12)	dit	0	0	0.0
				1)	dito	2347	17593	5.1369134E-5
				2)	dita	3381	9279	2.7093402E-5
				3)	dite	3836	6948	2.0287202E-5
				4)	diti	4129	5900	1.7227187E-5
				5)	dità	4275	5428	1.5849011E-5
				6)	ditt	4936	3706	1.0821009E-5
				7)	dit_	9181	459	1.3402167E-6
			13)	dio	0	0	0.0
				1)	dio_	2622	14579	4.256867E-5
				2)	dion	5471	2770	8.088018E-6
				3)	dios	6851	1375	4.0148107E-6
				4)	diov	6946	1315	3.839619E-6
				5)	dioa	7336	1116	3.258566E-6
				6)	diot	10302	285	8.321607E-7
				7)	dior	10453	266	7.7668335E-7
				8)	diof	10456	265	7.737635E-7
				9)	dioc	10858	225	6.56969E-7
				10)	diod	11074	205	5.985717E-7
			14)	did	0	0	0.0
				1)	dida	3270	10050	2.9344614E-5
				2)	dido	10393	272	7.942025E-7
				3)	dide	10717	240	7.007669E-7
			15)	die	0	0	0.0
				1)	dier	3727	7431	2.1697495E-5
				2)	die_	3824	6987	2.0401078E-5
				3)	diec	4251	5540	1.6176036E-5
				4)	diet	4539	4670	1.3635756E-5
				5)	dien	7278	1155	3.3724407E-6
				6)	dies	10392	272	7.942025E-7
			16)	dig	0	0	0.0
				1)	dign	4596	4554	1.3297052E-5
				2)	dige	5726	2390	6.9784705E-6
				3)	digi	5735	2369	6.9171533E-6
				4)	diga	10413	271	7.912826E-7
			17)	dil	0	0	0.0
				1)	dili	6796	1410	4.1170056E-6
				2)	dile	8182	733	2.1402589E-6
				3)	dila	8696	584	1.7051995E-6
				4)	dilu	8754	568	1.6584817E-6
			18)	diu	0	0	0.0
				1)	diuv	10568	253	7.3872513E-7
		4)	do	0	0	0.0
			1)	dot	0	0	0.0
				1)	dott	471	87088	2.5428494E-4
				2)	dota	4059	6170	1.801555E-5
				3)	doti	10022	323	9.431155E-7
			2)	dov	0	0	0.0
				1)	dovr	571	75442	2.2028024E-4
				2)	dove	1524	31519	9.2031136E-5
				3)	dovu	2909	12354	3.6071975E-5
				4)	dovi	8237	716	2.0906214E-6
				5)	dova	10529	257	7.504046E-7
				6)	dovè	10831	228	6.657286E-7
			3)	dob	0	0	0.0
				1)	dobb	695	65604	1.9155463E-4
			4)	dom	0	0	0.0
				1)	doma	1578	30415	8.880761E-5
				2)	domi	4342	5193	1.5162844E-5
				3)	dome	6193	1895	5.533139E-6
			5)	dop	0	0	0.0
				1)	dopo	1703	27392	7.998086E-5
				2)	dope	4449	4910	1.4336523E-5
				3)	dopp	4903	3769	1.10049605E-5
				4)	dopi	9159	462	1.3489763E-6
			6)	don	0	0	0.0
				1)	donn	1738	26837	7.836034E-5
				2)	dono	1778	26095	7.61938E-5
				3)	dona	3929	6591	1.9244811E-5
				4)	done	4629	4479	1.3078063E-5
				5)	doni	7984	806	2.353409E-6
				6)	dond	11120	201	5.8689227E-7
			7)	doc	0	0	0.0
				1)	docu	2475	16129	4.7094458E-5
				2)	doci	6292	1809	5.2820305E-6
				3)	docc	9246	445	1.2993387E-6
				4)	doce	10633	248	7.241258E-7
			8)	doz	0	0	0.0
				1)	dozi	3404	9149	2.6713818E-5
			9)	dos	0	0	0.0
				1)	dosi	4463	4875	1.4234328E-5
				2)	doss	5363	2935	8.569796E-6
				3)	dose	9230	449	1.3110181E-6
			10)	dog	0	0	0.0
				1)	doga	4946	3693	1.0783051E-5
				2)	dogl	7256	1169	3.4133188E-6
				3)	dogm	8680	587	1.713959E-6
				4)	dogg	10976	214	6.248505E-7
			11)	dol	0	0	0.0
				1)	dolo	5006	3567	1.0415149E-5
				2)	doll	5873	2244	6.552171E-6
				3)	dole	6045	2047	5.9769577E-6
				4)	doli	6515	1627	4.7506155E-6
				5)	dola	6801	1408	4.1111657E-6
				6)	dolt	10338	280	8.175614E-7
				7)	dolc	10378	274	8.0004224E-7
			12)	dor	0	0	0.0
				1)	dori	5807	2301	6.718603E-6
				2)	dora	6674	1495	4.365194E-6
				3)	dord	9932	334	9.75234E-7
				4)	dorm	10158	305	8.9055794E-7
				5)	doro	10600	250	7.299655E-7
				6)	dore	10857	225	6.56969E-7
			13)	dod	0	0	0.0
				1)	dodi	7079	1250	3.6498277E-6
			14)	doi	0	0	0.0
				1)	doi_	9317	432	1.2613805E-6
				2)	doio	10578	252	7.3580526E-7
			15)	dof	0	0	0.0
				1)	dofi	9328	429	1.2526209E-6
			16)	do”	0	0	0.0
				1)	do”_	10853	226	6.598888E-7
		5)	du	0	0	0.0
			1)	due	0	0	0.0
				1)	due_	1127	43923	1.282491E-4
			2)	dur	0	0	0.0
				1)	dura	1259	38765	1.1318846E-4
				2)	durr	1682	27765	8.106997E-5
				3)	dure	3135	10855	3.1695105E-5
				4)	duro	7702	940	2.7446704E-6
				5)	durs	8025	789	2.3037712E-6
				6)	durl	8167	739	2.1577782E-6
				7)	durg	8450	649	1.8949905E-6
				8)	duri	9717	363	1.05991E-6
				9)	durc	10036	320	9.343559E-7
				10)	durn	10939	218	6.3652993E-7
			3)	duz	0	0	0.0
				1)	duzi	1303	37367	1.0910649E-4
			4)	dus	0	0	0.0
				1)	dust	1917	23730	6.9288326E-5
				2)	dusc	10716	240	7.007669E-7
			5)	dub	0	0	0.0
				1)	dubb	2662	14219	4.151752E-5
				2)	dubi	7291	1143	3.3374024E-6
			6)	dut	0	0	0.0
				1)	dutt	2761	13490	3.938894E-5
				2)	duta	3418	9084	2.6524027E-5
				3)	duto	3770	7231	2.1113523E-5
				4)	dute	5870	2245	6.5550903E-6
				5)	duti	6662	1502	4.385633E-6
				6)	duty	10249	292	8.525997E-7
			7)	dun	0	0	0.0
				1)	dunq	2927	12236	3.5727433E-5
			8)	duc	0	0	0.0
				1)	duci	3019	11612	3.390544E-5
				2)	duce	3407	9144	2.669922E-5
				3)	duca	4518	4718	1.377591E-5
				4)	duco	5586	2607	7.6120805E-6
			9)	dua	0	0	0.0
				1)	dual	4163	5782	1.6882643E-5
				2)	duar	5108	3353	9.790298E-6
				3)	duat	6492	1644	4.8002535E-6
				4)	duaz	8264	707	2.0643424E-6
				5)	dua_	9054	487	1.4219729E-6
			10)	dum	0	0	0.0
				1)	dum_	5269	3060	8.934778E-6
				2)	dump	7227	1181	3.4483571E-6
			11)	dui	0	0	0.0
				1)	dui_	5651	2503	7.3084148E-6
			12)	dup	0	0	0.0
				1)	dupl	6573	1582	4.6192217E-6
			13)	duo	0	0	0.0
				1)	duo_	6644	1514	4.4206713E-6
			14)	dul	0	0	0.0
				1)	dult	7029	1274	3.7199043E-6
				2)	dula	8512	630	1.8395132E-6
				3)	dulg	9800	352	1.0277914E-6
				4)	duli	10830	228	6.657286E-7
			15)	dug	0	0	0.0
				1)	dugi	7755	914	2.668754E-6
		6)	dr	0	0	0.0
			1)	dro	0	0	0.0
				1)	dro_	1669	28013	8.1794096E-5
				2)	drog	4828	3941	1.1507177E-5
				3)	dron	8738	572	1.6701612E-6
				4)	droc	9952	332	9.693943E-7
				5)	drom	10892	222	6.482094E-7
			2)	dra	0	0	0.0
				1)	dram	5214	3154	9.209245E-6
				2)	dras	6841	1385	4.044009E-6
				3)	dran	7248	1174	3.427918E-6
				4)	dra_	7679	950	2.773869E-6
				5)	drat	9164	461	1.3460565E-6
				6)	drar	11039	208	6.0733134E-7
			3)	dre	0	0	0.0
				1)	dreb	5490	2740	8.000422E-6
				2)	dre_	6330	1780	5.1973548E-6
				3)	drem	7678	950	2.773869E-6
			4)	drà	0	0	0.0
				1)	drà_	5662	2483	7.250018E-6
			5)	dri	0	0	0.0
				1)	dri_	6390	1732	5.057201E-6
				2)	dric	6554	1592	4.6484206E-6
				3)	drid	8596	608	1.7752761E-6
		7)	dd	0	0	0.0
			1)	ddi	0	0	0.0
				1)	ddis	2283	18601	5.4312357E-5
				2)	ddit	3669	7719	2.2538416E-5
				3)	ddir	4377	5105	1.4905896E-5
				4)	ddiz	5656	2488	7.264617E-6
				5)	ddiv	6895	1344	3.9242946E-6
				6)	ddic	9514	398	1.1621051E-6
			2)	dde	0	0	0.0
				1)	ddet	3350	9506	2.775621E-5
				2)	dden	9757	358	1.0453107E-6
				3)	ddes	9795	353	1.0307114E-6
				4)	ddeb	10262	290	8.4676003E-7
			3)	ddo	0	0	0.0
				1)	ddov	5451	2799	8.172694E-6
				2)	ddop	7298	1138	3.3228032E-6
				3)	ddot	8796	554	1.6176036E-6
				4)	ddo_	10251	292	8.525997E-7
				5)	ddos	10874	224	6.5404913E-7
			4)	dda	0	0	0.0
				1)	dda_	8846	541	1.5796454E-6
			5)	ddu	0	0	0.0
				1)	dduc	10230	296	8.642792E-7
		8)	d’	0	0	0.0
			1)	d’a	0	0	0.0
				1)	d’ac	6073	2024	5.909801E-6
				2)	d’az	6495	1642	4.7944136E-6
				3)	d’al	8037	782	2.2833322E-6
				4)	d’ar	9978	328	9.577147E-7
				5)	d’am	10553	255	7.4456483E-7
			2)	d’i	0	0	0.0
				1)	d’in	6459	1675	4.890769E-6
				2)	d’im	8307	691	2.0176246E-6
			3)	d’e	0	0	0.0
				1)	d’eu	7290	1144	3.3403223E-6
			4)	d’o	0	0	0.0
				1)	d’or	7687	946	2.7621895E-6
		9)	dx	0	0	0.0
			1)	dxb	0	0	0.0
				1)	dxbc	8928	517	1.5095687E-6
		10)	dg	0	0	0.0
			1)	dge	0	0	0.0
				1)	dge_	10154	306	8.934778E-7
				2)	dget	10504	260	7.5916415E-7
		11)	dm	0	0	0.0
			1)	dmi	0	0	0.0
				1)	dmio	10472	263	7.679237E-7
			2)	dma	0	0	0.0
				1)	dmap	11121	201	5.8689227E-7
		12)	dc	0	0	0.0
			1)	dco	0	0	0.0
				1)	dcor	10698	241	7.036868E-7
		13)	ds	0	0	0.0
			1)	dsu	0	0	0.0
				1)	dsud	10899	221	6.4528956E-7
		14)	dk	0	0	0.0
			1)	dka	0	0	0.0
				1)	dka_	11016	210	6.1317104E-7
	7)	m	0	0	0.0
		1)	me	0	0	0.0
			1)	men	0	0	0.0
				1)	ment	12	1038591	0.0030325425
				2)	mend	961	50713	1.4807496E-4
				3)	meno	1114	44378	1.2957765E-4
				4)	mens	3158	10738	3.135348E-5
				5)	menz	3791	7105	2.074562E-5
				6)	meni	5383	2901	8.47052E-6
				7)	mena	9465	407	1.1883839E-6
				8)	mene	9613	381	1.1124674E-6
			2)	mem	0	0	0.0
				1)	memb	320	115776	3.3804995E-4
				2)	meme	5191	3196	9.3318795E-6
				3)	memo	6016	2076	6.061634E-6
			3)	mer	0	0	0.0
				1)	merc	421	94213	2.7508897E-4
				2)	meri	1045	47081	1.3747002E-4
				3)	mero	1689	27679	8.081886E-5
				4)	mere	2204	19572	5.7147543E-5
				5)	merg	3520	8478	2.475459E-5
				6)	mers	3833	6959	2.0319321E-5
				7)	mera	5276	3051	8.9085E-6
				8)	merà	6937	1321	3.857138E-6
				9)	merl	7219	1184	3.4571167E-6
				10)	merò	8239	715	2.0877014E-6
				11)	merm	8773	561	1.6380427E-6
			4)	met	0	0	0.0
				1)	mett	873	54640	1.5954126E-4
				2)	meto	3334	9592	2.8007318E-5
				3)	metr	4311	5290	1.544607E-5
				4)	metà	4976	3630	1.0599099E-5
				5)	meta	6719	1461	4.2659185E-6
				6)	meti	7905	846	2.4702033E-6
				7)	mete	9404	415	1.2117428E-6
			5)	mes	0	0	0.0
				1)	mess	1003	48814	1.4253015E-4
				2)	mesi	3124	10972	3.203673E-5
				3)	mese	4468	4868	1.4213889E-5
				4)	mest	5019	3550	1.036551E-5
				5)	mesc	8937	513	1.4978892E-6
			6)	med	0	0	0.0
				1)	medi	1150	43289	1.263979E-4
				2)	mede	5790	2323	6.7828396E-6
				3)	meda	10151	306	8.934778E-7
			7)	mez	0	0	0.0
				1)	mezz	2317	17961	5.2443644E-5
			8)	meg	0	0	0.0
				1)	megl	2938	12151	3.5479246E-5
			9)	mec	0	0	0.0
				1)	mecc	3325	9631	2.8121192E-5
			10)	mev	0	0	0.0
				1)	meva	9316	432	1.2613805E-6
			11)	mel	0	0	0.0
				1)	mell	9607	382	1.1153874E-6
		2)	mp	0	0	0.0
			1)	mpo	0	0	0.0
				1)	mpor	242	135706	3.962428E-4
				2)	mpo_	788	58929	1.7206455E-4
				3)	mpos	2167	20088	5.865419E-5
				4)	mpon	3719	7474	2.1823049E-5
				5)	mpov	8390	669	1.9533877E-6
				6)	mpot	8526	626	1.8278337E-6
				7)	mpol	10789	232	6.77408E-7
			2)	mpr	0	0	0.0
				1)	mpre	414	95528	2.7892858E-4
				2)	mpro	2260	18945	5.531679E-5
				3)	mpri	7621	975	2.8468655E-6
				4)	mpra	7632	971	2.835186E-6
			3)	mpl	0	0	0.0
				1)	mpli	1162	42820	1.250285E-4
				2)	mple	1548	30892	9.020038E-5
				3)	mpla	5360	2936	8.572715E-6
			4)	mpi	0	0	0.0
				1)	mpio	1200	41135	1.2010853E-4
				2)	mpie	2314	17981	5.250204E-5
				3)	mpia	2589	14947	4.364318E-5
				4)	mpit	2818	13042	3.808084E-5
				5)	mpi_	2850	12774	3.729832E-5
